レシート番号,支店,性別,年代,曜日,日付,時刻,時間帯,金額,購入商品数,購入商品
R0285,北区,女性,20代,月,2024/01/29,07:12,朝,500,2,キャンディ アイス
R0286,西区,男性,20代,木,2024/02/01,08:16,朝,700,3,ヨーグルト フルーツ 卵
R0287,中央区,女性,40代,土,2024/12/14,21:29,夜,990,4,トイレットペーパー 炭酸飲料 卵 シャンプー
R0288,北区,男性,60代以上,土,2024/11/23,12:09,昼,410,2,歯ブラシ シャンプー
R0289,北区,女性,50代,火,2024/09/10,20:07,夜,960,3,トイレットペーパー 歯ブラシ 牛乳
R0290,中央区,男性,50代,水,2024/12/25,06:53,朝,910,4,ヨーグルト パン 牛乳 栄養ドリンク
R0291,北区,男性,30代,木,2024/01/04,13:33,昼,830,4,卵 野菜ジュース サラダ お茶
R0292,中央区,男性,20代,土,2024/10/05,12:46,昼,650,2,おにぎり 弁当
R0293,東区,男性,30代,火,2024/01/16,20:04,夜,510,3,ポテトチップス 冷凍食品 缶コーヒー
R0294,北区,女性,30代,木,2024/05/09,18:10,夜,660,2,サンドイッチ パン
R0295,中央区,男性,60代以上,金,2024/02/23,14:18,昼,650,2,弁当 おにぎり
R0296,西区,男性,30代,火,2024/06/25,14:46,昼,260,2,おにぎり お茶
R0297,東区,男性,20代,水,2024/07/24,20:57,夜,510,2,おにぎり ガム
R0298,東区,女性,20代,木,2024/08/22,21:11,夜,600,3,肉まん 冷凍食品 ポテトチップス
R0299,北区,男性,40代,土,2024/06/22,06:59,朝,1170,4,トイレットペーパー 洗剤 ティッシュ 歯ブラシ
R0300,東区,男性,30代,水,2024/04/10,17:48,夜,640,3,アイス カップ麺 炭酸飲料
R0301,北区,女性,40代,火,2024/05/21,21:42,夜,1160,4,シャンプー トイレットペーパー ティッシュ 牛乳
R0302,中央区,女性,50代,金,2024/08/09,12:48,昼,210,1,パン
R0303,西区,女性,40代,木,2024/09/05,14:52,昼,180,1,カップ麺
R0304,東区,男性,40代,日,2024/09/22,18:12,夜,1110,4,カップ麺 ポテトチップス 炭酸飲料 弁当
R0305,東区,女性,30代,月,2024/08/26,07:38,朝,290,1,サラダ
R0306,北区,男性,30代,火,2024/08/13,18:47,夜,390,2,サラダ 缶コーヒー
R0307,中央区,女性,20代,木,2024/01/25,09:13,朝,310,1,炭酸飲料
R0308,北区,男性,50代,水,2024/02/14,13:48,昼,1220,4,サンドイッチ おにぎり お茶 弁当
R0309,東区,女性,50代,土,2024/03/02,11:12,昼,800,4,洗剤 チョコレート サラダ アイス
R0310,西区,男性,50代,土,2024/09/07,08:24,朝,890,4,シャンプー チョコレート 卵 牛乳
R0311,西区,男性,20代,水,2024/03/20,11:12,昼,840,3,お茶 弁当 チョコレート
R0312,東区,男性,10代,土,2024/03/30,20:22,夜,420,3,ポテトチップス 缶コーヒー チョコレート
R0313,北区,女性,40代,木,2024/04/04,14:52,昼,1160,5,サラダ ポテトチップス 野菜ジュース ティッシュ ヨーグルト
R0314,西区,男性,30代,水,2024/10/02,22:17,夜,770,3,ポテトチップス 炭酸飲料 キャンディ
R0315,東区,男性,30代,水,2024/08/28,07:30,朝,500,2,炭酸飲料 ヨーグルト
R0316,東区,男性,50代,土,2024/02/17,17:44,夜,1050,5,炭酸飲料 カップ麺 ポテトチップス 冷凍食品 アイス
R0317,東区,男性,40代,月,2024/09/16,09:31,朝,310,2,ヨーグルト お茶
R0318,東区,女性,40代,日,2024/08/11,06:01,朝,480,2,牛乳 洗剤
R0319,北区,男性,50代,金,2024/11/01,10:14,朝,1190,4,歯ブラシ コーヒー 牛乳 ティッシュ
R0320,北区,女性,40代,木,2024/10/24,06:49,朝,540,2,洗剤 ティッシュ
R0321,東区,男性,40代,金,2024/11/01,17:39,夜,790,3,ポテトチップス ガム 炭酸飲料
R0322,北区,男性,20代,水,2024/05/15,07:26,朝,390,2,野菜ジュース パン
R0323,中央区,男性,30代,日,2024/06/16,10:02,朝,480,2,牛乳 アイス
R0324,中央区,女性,20代,金,2024/10/04,11:50,昼,760,3,おにぎり コーヒー サンドイッチ
R0325,東区,女性,40代,金,2024/06/21,21:54,夜,590,4,チョコレート ポテトチップス 缶コーヒー ジュース
R0326,東区,男性,40代,月,2024/01/29,11:40,昼,180,1,カップ麺
R0327,東区,女性,50代,火,2024/04/23,14:12,昼,700,3,ヨーグルト 野菜ジュース 牛乳
R0328,西区,女性,20代,木,2024/11/14,17:21,夜,880,4,チョコレート アイス ジュース キャンディ
R0329,中央区,男性,50代,火,2024/03/12,18:53,夜,510,1,弁当
R0330,東区,女性,20代,月,2024/08/19,11:16,昼,510,1,弁当
R0331,東区,男性,20代,火,2024/10/29,08:13,朝,740,3,アイス サラダ 冷凍食品
R0332,東区,女性,30代,木,2024/02/29,22:23,夜,350,2,カップ麺 ジュース
R0333,中央区,女性,40代,土,2024/02/03,21:40,夜,260,2,アイス ポテトチップス
R0334,西区,男性,60代以上,木,2024/10/03,14:31,昼,430,2,おにぎり サラダ
R0335,西区,男性,20代,火,2024/03/05,12:02,昼,370,1,ガム
R0336,西区,男性,10代,月,2024/02/26,09:58,朝,860,3,卵 サンドイッチ ジュース
R0337,中央区,女性,10代,日,2024/03/31,19:03,夜,480,3,ポテトチップス 肉まん カップ麺
R0338,北区,女性,40代,土,2024/11/09,11:26,昼,1150,4,おにぎり キャンディ トイレットペーパー 牛乳
R0339,東区,女性,40代,水,2024/06/05,11:05,昼,420,2,ポテトチップス 炭酸飲料
R0340,中央区,男性,20代,月,2024/08/12,21:13,夜,600,3,卵 栄養ドリンク 野菜ジュース
R0341,西区,男性,30代,金,2024/06/14,18:16,夜,990,5,チョコレート ジュース アイス ポテトチップス キャンディ
R0342,中央区,女性,10代,火,2024/10/22,12:07,昼,180,1,野菜ジュース
R0343,東区,男性,30代,水,2024/04/03,14:05,昼,190,1,肉まん
R0344,北区,女性,30代,月,2024/07/15,12:55,昼,820,3,サンドイッチ 栄養ドリンク 肉まん
R0345,北区,女性,20代,土,2024/08/24,21:14,夜,1050,6,チョコレート アイス 冷凍食品 ポテトチップス 缶コーヒー カップ麺
R0346,中央区,女性,30代,月,2024/01/15,21:51,夜,800,4,缶コーヒー アイス 炭酸飲料 卵
R0347,中央区,男性,20代,水,2024/12/25,20:49,夜,960,2,サンドイッチ 弁当
R0348,西区,男性,30代,日,2024/02/04,11:43,昼,500,3,栄養ドリンク ポテトチップス チョコレート
R0349,東区,女性,50代,木,2024/09/26,11:21,昼,350,2,カップ麺 ジュース
R0350,東区,男性,50代,月,2024/07/01,11:02,昼,720,2,牛乳 ティッシュ
R0351,中央区,男性,20代,水,2024/05/08,12:59,昼,310,2,おにぎり コーヒー
R0352,東区,女性,40代,木,2024/01/25,07:01,朝,820,4,卵 ヨーグルト お茶 フルーツ
R0353,中央区,男性,10代,土,2024/06/29,21:57,夜,370,2,ヨーグルト 栄養ドリンク
R0354,西区,男性,20代,月,2024/10/28,18:29,夜,500,2,アイス キャンディ
R0355,中央区,男性,40代,月,2024/04/15,07:51,朝,780,4,栄養ドリンク 卵 洗剤 パン
R0356,北区,女性,30代,木,2024/03/07,13:26,昼,720,2,ティッシュ 牛乳
R0357,西区,女性,20代,金,2024/04/19,14:38,昼,400,2,ポテトチップス サラダ
R0358,中央区,女性,30代,土,2024/06/01,08:36,朝,1200,4,ガム 炭酸飲料 ジュース キャンディ
R0359,中央区,男性,20代,月,2024/09/09,17:47,夜,820,4,炭酸飲料 ポテトチップス 缶コーヒー 冷凍食品
R0360,北区,男性,50代,金,2024/04/19,12:30,昼,310,2,ジュース おにぎり
R0361,東区,女性,40代,日,2024/06/02,11:52,昼,970,4,野菜ジュース トイレットペーパー 炭酸飲料 アイス
R0362,中央区,女性,30代,木,2024/02/22,13:20,昼,590,3,カップ麺 サラダ お茶
R0363,西区,女性,40代,土,2024/07/27,21:52,夜,740,3,フルーツ 野菜ジュース サラダ
R0364,北区,女性,30代,日,2024/11/17,14:05,昼,470,3,栄養ドリンク ポテトチップス カップ麺
R0365,北区,女性,20代,月,2024/02/12,11:47,昼,150,1,アイス
R0366,西区,女性,20代,月,2024/01/01,13:41,昼,830,4,卵 サラダ お茶 野菜ジュース
R0367,中央区,男性,20代,火,2024/09/10,14:20,昼,510,2,フルーツ 卵
R0368,北区,男性,60代以上,水,2024/02/07,20:37,夜,310,2,お茶 ヨーグルト
R0369,西区,女性,50代,日,2024/05/12,08:09,朝,470,2,トイレットペーパー おにぎり
R0370,西区,女性,10代,土,2024/12/07,12:46,昼,920,4,おにぎり 卵 パン トイレットペーパー
R0371,中央区,女性,20代,火,2024/01/09,11:17,昼,330,2,おにぎり 肉まん
R0372,東区,男性,20代,日,2024/07/21,06:09,朝,460,3,ポテトチップス おにぎり チョコレート
R0373,東区,女性,20代,土,2024/10/26,18:48,夜,650,3,おにぎり ティッシュ お茶
R0374,東区,男性,50代,月,2024/11/18,11:40,昼,690,3,キャンディ アイス ヨーグルト
R0375,西区,女性,20代,金,2024/09/20,22:22,夜,110,1,ポテトチップス
R0376,北区,女性,20代,金,2024/07/19,21:49,夜,760,4,フルーツ ヨーグルト 栄養ドリンク お茶
R0377,東区,男性,20代,水,2024/10/02,09:22,朝,460,3,ポテトチップス 栄養ドリンク ジュース
R0378,北区,男性,40代,月,2024/09/09,08:23,朝,120,1,お茶
R0379,東区,男性,30代,木,2024/08/22,13:44,昼,480,2,ポテトチップス ガム
R0380,中央区,男性,10代,火,2024/03/26,08:12,朝,140,1,おにぎり
R0381,西区,男性,20代,土,2024/06/29,07:41,朝,860,3,おにぎり 牛乳 ティッシュ
R0382,北区,男性,30代,水,2024/03/06,06:23,朝,450,2,牛乳 お茶
R0383,中央区,女性,50代,金,2024/03/08,12:01,昼,1430,5,野菜ジュース サラダ フルーツ 栄養ドリンク 弁当
R0384,中央区,男性,10代,木,2024/02/08,11:42,昼,180,1,カップ麺
R0385,東区,男性,20代,木,2024/10/10,15:00,昼,470,2,サラダ カップ麺
R0386,中央区,男性,20代,月,2024/01/08,12:00,昼,410,2,サラダ お茶
R0387,北区,男性,40代,金,2024/03/15,09:11,朝,290,2,ジュース お茶
R0388,東区,男性,60代以上,土,2024/03/02,20:01,夜,800,3,お茶 サラダ ティッシュ
R0389,中央区,男性,30代,土,2024/06/15,12:18,昼,480,2,炭酸飲料 コーヒー
R0390,東区,女性,40代,水,2024/02/14,12:19,昼,120,1,お茶
R0391,中央区,女性,20代,月,2024/08/05,07:14,朝,960,3,サンドイッチ 野菜ジュース 牛乳
R0392,東区,男性,40代,火,2024/12/24,13:42,昼,320,2,おにぎり 野菜ジュース
R0393,東区,女性,50代,火,2024/04/02,13:47,昼,1180,5,ティッシュ 肉まん カップ麺 歯ブラシ お茶
R0394,北区,男性,10代,土,2024/12/21,06:04,朝,740,4,卵 コーヒー パン お茶
R0395,中央区,男性,60代以上,金,2024/09/13,20:22,夜,300,2,お茶 野菜ジュース
R0396,東区,男性,60代以上,水,2024/08/21,09:32,朝,170,1,コーヒー
R0397,中央区,男性,60代以上,木,2024/04/11,12:48,昼,630,2,お茶 弁当
R0398,東区,男性,60代以上,日,2024/10/06,19:24,夜,460,2,キャンディ ポテトチップス
R0399,東区,女性,40代,月,2024/05/27,17:11,夜,140,1,おにぎり
R0400,北区,女性,30代,月,2024/07/01,14:52,昼,630,2,野菜ジュース サンドイッチ
R0401,中央区,男性,20代,水,2024/11/13,20:07,夜,890,4,サラダ ヨーグルト フルーツ おにぎり
R0402,中央区,男性,50代,火,2024/01/23,12:29,昼,630,2,お茶 弁当
R0403,東区,女性,60代以上,土,2024/07/27,07:26,朝,1260,5,ティッシュ サラダ パン ヨーグルト 栄養ドリンク
R0404,西区,女性,40代,金,2024/01/19,18:16,夜,910,4,キャンディ ポテトチップス 炭酸飲料 おにぎり
R0405,西区,女性,20代,水,2024/11/27,17:10,夜,600,3,カップ麺 ポテトチップス 炭酸飲料
R0406,東区,女性,20代,日,2024/09/01,13:20,昼,120,1,お茶
R0407,東区,女性,50代,火,2024/07/30,08:10,朝,240,1,卵
R0408,中央区,男性,60代以上,月,2024/04/29,08:36,朝,960,4,卵 牛乳 パン 栄養ドリンク
R0409,北区,男性,20代,日,2024/02/11,18:31,夜,750,3,チョコレート ジュース ガム
R0410,西区,男性,30代,木,2024/07/11,12:12,昼,740,3,サラダ 栄養ドリンク フルーツ
R0411,北区,女性,50代,金,2024/11/22,13:24,昼,890,3,牛乳 サラダ フルーツ
R0412,中央区,女性,50代,木,2024/11/07,10:22,朝,450,1,サンドイッチ
R0413,中央区,男性,30代,金,2024/06/28,09:07,朝,140,1,おにぎり
R0414,東区,男性,20代,火,2024/04/23,18:57,夜,260,2,アイス ポテトチップス
R0415,中央区,女性,40代,土,2024/06/29,19:02,夜,930,3,チョコレート ガム キャンディ
R0416,東区,女性,20代,土,2024/12/07,14:08,昼,490,3,肉まん カップ麺 お茶
R0417,北区,女性,50代,土,2024/10/19,12:54,昼,610,3,カップ麺 おにぎり サラダ
R0418,西区,女性,20代,木,2024/02/01,21:50,夜,890,3,キャンディ ガム コーヒー
R0419,西区,男性,20代,火,2024/07/23,07:37,朝,950,4,パン コーヒー 牛乳 卵
R0420,西区,女性,10代,土,2024/11/30,14:59,昼,1280,4,カップ麺 おにぎり サンドイッチ 弁当
R0421,西区,女性,50代,木,2024/05/02,08:32,朝,760,3,ヨーグルト 牛乳 卵
R0422,中央区,女性,10代,日,2024/07/21,19:18,夜,550,3,冷凍食品 ポテトチップス おにぎり
R0423,中央区,男性,30代,土,2024/01/27,20:02,夜,1190,4,牛乳 サンドイッチ コーヒー 卵
R0424,中央区,男性,60代以上,月,2024/08/19,14:51,昼,460,3,ジュース コーヒー お茶
R0425,北区,女性,30代,火,2024/01/30,20:33,夜,140,1,おにぎり
R0426,西区,女性,50代,月,2024/05/20,18:53,夜,830,3,ガム ポテトチップス キャンディ
R0427,北区,男性,20代,土,2024/02/03,22:04,夜,970,5,ポテトチップス コーヒー アイス 卵 歯ブラシ
R0428,北区,男性,30代,水,2024/09/25,12:40,昼,1160,4,ガム 弁当 缶コーヒー 栄養ドリンク
R0429,西区,女性,60代以上,金,2024/01/05,21:24,夜,460,2,炭酸飲料 アイス
R0430,西区,男性,40代,日,2024/04/14,22:10,夜,1070,3,キャンディ 弁当 チョコレート
R0431,東区,女性,60代以上,月,2024/01/29,12:06,昼,140,1,おにぎり
R0432,北区,女性,10代,月,2024/08/19,20:42,夜,1020,3,トイレットペーパー 歯ブラシ ティッシュ
R0433,東区,女性,40代,水,2024/07/24,12:08,昼,530,3,お茶 ポテトチップス 冷凍食品
R0434,北区,男性,60代以上,土,2024/12/21,11:54,昼,450,1,サンドイッチ
R0435,中央区,女性,50代,火,2024/07/02,17:03,夜,560,3,お茶 おにぎり 冷凍食品
R0436,北区,男性,30代,金,2024/04/12,17:03,夜,1630,6,野菜ジュース トイレットペーパー 牛乳 ティッシュ 歯ブラシ 缶コーヒー
R0437,中央区,女性,30代,水,2024/09/04,14:12,昼,490,3,おにぎり カップ麺 ジュース
R0438,西区,男性,30代,月,2024/01/01,10:13,朝,170,1,ジュース
R0439,東区,男性,30代,土,2024/02/03,11:50,昼,250,2,缶コーヒー アイス
R0440,中央区,女性,30代,日,2024/05/05,07:16,朝,560,3,サラダ お茶 洗剤
R0441,東区,男性,10代,金,2024/09/27,13:21,昼,510,1,弁当
R0442,中央区,女性,10代,火,2024/08/20,20:39,夜,450,2,栄養ドリンク フルーツ
R0443,東区,女性,20代,木,2024/08/08,07:09,朝,140,1,おにぎり
R0444,中央区,男性,40代,火,2024/01/09,14:23,昼,290,2,ジュース お茶
R0445,東区,女性,60代以上,火,2024/06/04,08:58,朝,1110,4,卵 洗剤 トイレットペーパー ティッシュ
R0446,中央区,男性,60代以上,土,2024/02/10,12:34,昼,600,3,サラダ 肉まん お茶
R0447,東区,男性,20代,金,2024/05/24,17:45,夜,1100,3,おにぎり サンドイッチ 弁当
R0448,北区,男性,30代,日,2024/04/21,14:39,昼,1150,4,サンドイッチ 肉まん カップ麺 牛乳
R0449,西区,女性,40代,月,2024/05/20,14:25,昼,780,3,野菜ジュース サラダ 炭酸飲料
R0450,北区,女性,40代,火,2024/01/30,18:32,夜,1020,3,歯ブラシ ティッシュ トイレットペーパー
R0451,中央区,女性,20代,土,2024/09/07,20:57,夜,570,3,アイス ポテトチップス 炭酸飲料
R0452,北区,女性,20代,月,2024/04/15,20:56,夜,570,2,ティッシュ カップ麺
R0453,北区,女性,30代,金,2024/10/04,11:54,昼,140,1,おにぎり
R0454,北区,女性,50代,土,2024/06/22,19:15,夜,750,3,カップ麺 トイレットペーパー 卵
R0455,北区,女性,40代,火,2024/09/10,14:59,昼,680,2,弁当 ジュース
R0456,西区,男性,10代,土,2024/12/21,21:00,夜,470,3,アイス ポテトチップス チョコレート
R0457,中央区,女性,20代,月,2024/06/03,11:54,昼,520,3,カップ麺 コーヒー ジュース
R0458,北区,男性,60代以上,火,2024/05/07,17:58,夜,1020,4,栄養ドリンク ティッシュ 牛乳 お茶
R0459,中央区,男性,10代,金,2024/05/10,13:40,昼,560,2,チョコレート キャンディ
R0460,東区,男性,20代,月,2024/06/03,14:02,昼,620,3,おにぎり 冷凍食品 カップ麺
R0461,北区,男性,40代,火,2024/11/05,20:23,夜,750,3,缶コーヒー キャンディ 冷凍食品
R0462,東区,男性,30代,木,2024/06/06,13:20,昼,260,2,おにぎり お茶
R0463,東区,女性,40代,火,2024/01/02,12:18,昼,940,3,弁当 おにぎり サラダ
R0464,北区,男性,20代,火,2024/06/25,17:31,夜,1070,4,シャンプー 歯ブラシ トイレットペーパー 牛乳
R0465,東区,男性,30代,日,2024/01/21,13:04,昼,700,2,肉まん 弁当
R0466,東区,男性,20代,月,2024/03/11,12:56,昼,320,2,カップ麺 おにぎり
R0467,北区,男性,20代,火,2024/09/10,14:30,昼,360,2,チョコレート アイス
R0468,北区,男性,60代以上,水,2024/08/21,17:39,夜,940,3,冷凍食品 炭酸飲料 トイレットペーパー
R0469,西区,男性,60代以上,土,2024/04/27,14:53,昼,840,4,ヨーグルト サラダ 栄養ドリンク 野菜ジュース
R0470,東区,女性,10代,月,2024/07/15,11:17,昼,300,1,冷凍食品
R0471,西区,男性,30代,火,2024/08/27,09:45,朝,210,1,パン
R0472,北区,男性,60代以上,月,2024/09/30,14:30,昼,570,3,栄養ドリンク 洗剤 卵
R0473,西区,男性,20代,日,2024/04/21,18:01,夜,730,3,ジュース ポテトチップス サンドイッチ
R0474,東区,女性,60代以上,火,2024/08/20,20:39,夜,850,3,サラダ サンドイッチ ポテトチップス
R0475,西区,女性,20代,日,2024/09/15,12:59,昼,1130,3,弁当 ジュース サンドイッチ
R0476,東区,男性,30代,日,2024/12/01,11:18,昼,740,4,アイス ポテトチップス 冷凍食品 カップ麺
R0477,中央区,男性,50代,水,2024/07/24,08:10,朝,650,2,おにぎり 弁当
R0478,西区,女性,20代,土,2024/08/03,11:47,昼,870,3,キャンディ 炭酸飲料 チョコレート
R0479,西区,男性,20代,土,2024/02/10,22:27,夜,320,2,チョコレート ポテトチップス
R0480,中央区,女性,40代,木,2024/11/14,14:45,昼,650,2,弁当 おにぎり
R0481,北区,女性,30代,土,2024/04/20,17:15,夜,540,2,ガム ジュース
R0482,北区,男性,40代,木,2024/04/04,21:36,夜,680,3,炭酸飲料 肉まん カップ麺
R0483,北区,女性,20代,木,2024/02/15,17:31,夜,810,3,炭酸飲料 キャンディ アイス
R0484,西区,男性,50代,金,2024/04/19,11:18,昼,690,2,サンドイッチ 卵
R0485,東区,女性,60代以上,月,2024/04/08,13:20,昼,600,3,サラダ おにぎり ジュース
R0486,西区,女性,20代,金,2024/12/27,14:15,昼,730,3,ポテトチップス サンドイッチ コーヒー
R0487,北区,女性,60代以上,日,2024/12/29,11:55,昼,1290,4,卵 牛乳 トイレットペーパー ティッシュ
R0488,西区,女性,40代,土,2024/03/23,21:57,夜,480,3,カップ麺 ポテトチップス 肉まん
R0489,西区,女性,40代,土,2024/08/10,12:29,昼,640,4,アイス ジュース ポテトチップス チョコレート
R0490,中央区,男性,10代,木,2024/04/18,18:18,夜,840,3,カップ麺 洗剤 弁当
R0491,北区,女性,30代,月,2024/12/02,11:37,昼,710,3,アイス ポテトチップス サンドイッチ
R0492,西区,男性,40代,火,2024/01/02,12:55,昼,800,2,サンドイッチ キャンディ
R0493,西区,女性,40代,火,2024/09/17,09:04,朝,210,1,パン
R0494,西区,女性,40代,月,2024/12/02,11:56,昼,1040,4,牛乳 トイレットペーパー 卵 おにぎり
R0495,西区,女性,20代,金,2024/11/29,12:26,昼,690,2,カップ麺 弁当
R0496,西区,女性,10代,金,2024/06/21,22:28,夜,470,2,冷凍食品 ジュース
R0497,中央区,女性,30代,月,2024/06/03,13:30,昼,320,2,カップ麺 おにぎり
R0498,西区,女性,10代,火,2024/10/15,12:25,昼,310,1,炭酸飲料
R0499,西区,男性,20代,木,2024/09/12,13:41,昼,620,2,弁当 ポテトチップス
R0500,中央区,男性,60代以上,火,2024/01/16,20:44,夜,1310,4,カップ麺 コーヒー サンドイッチ 弁当
R0501,中央区,男性,40代,土,2024/12/07,14:44,昼,860,5,アイス お茶 缶コーヒー 冷凍食品 肉まん
R0502,西区,女性,20代,金,2024/11/22,11:22,昼,260,2,ポテトチップス アイス
R0503,北区,男性,40代,月,2024/06/17,17:40,夜,460,2,キャンディ ポテトチップス
R0504,中央区,女性,50代,水,2024/06/12,11:07,昼,620,3,サラダ おにぎり 肉まん
R0505,西区,女性,40代,火,2024/06/11,08:14,朝,930,4,牛乳 ヨーグルト 卵 ジュース
R0506,東区,女性,10代,土,2024/03/23,12:00,昼,830,3,アイス ジュース 弁当
R0507,北区,女性,10代,水,2024/05/08,20:38,夜,710,3,アイス キャンディ チョコレート
R0508,中央区,男性,40代,月,2024/02/19,19:42,夜,750,3,炭酸飲料 アイス サラダ
R0509,中央区,女性,10代,日,2024/06/30,19:02,夜,770,4,ポテトチップス 冷凍食品 チョコレート アイス
R0510,東区,男性,50代,土,2024/04/27,19:57,夜,600,3,肉まん 冷凍食品 ポテトチップス
R0511,中央区,女性,50代,日,2024/11/03,19:39,夜,1120,4,歯ブラシ トイレットペーパー 缶コーヒー ティッシュ
R0512,中央区,男性,60代以上,火,2024/01/02,09:53,朝,590,3,シャンプー トイレットペーパー 洗剤
R0513,東区,男性,60代以上,金,2024/08/23,17:29,夜,920,3,サンドイッチ サラダ 栄養ドリンク
R0514,東区,女性,20代,日,2024/11/10,11:08,昼,810,4,缶コーヒー 炭酸飲料 チョコレート 肉まん
R0515,中央区,女性,50代,水,2024/12/04,13:45,昼,880,4,野菜ジュース 牛乳 栄養ドリンク ヨーグルト
R0516,東区,男性,60代以上,木,2024/03/07,13:40,昼,140,1,おにぎり
R0517,中央区,男性,50代,水,2024/10/09,17:50,夜,180,1,野菜ジュース
R0518,中央区,男性,30代,金,2024/12/20,20:53,夜,410,2,缶コーヒー 炭酸飲料
R0519,東区,女性,10代,月,2024/02/12,20:27,夜,310,2,缶コーヒー チョコレート
R0520,東区,男性,50代,金,2024/10/25,10:15,朝,260,2,お茶 おにぎり
R0521,中央区,女性,50代,木,2024/02/01,18:24,夜,400,2,チョコレート 肉まん
R0522,中央区,女性,30代,木,2024/11/21,07:53,朝,770,3,お茶 おにぎり 弁当
R0523,東区,男性,20代,土,2024/11/02,12:43,昼,170,1,ジュース
R0524,北区,女性,60代以上,水,2024/09/18,06:09,朝,1200,4,歯ブラシ フルーツ ティッシュ 卵
R0525,西区,女性,40代,金,2024/09/13,18:05,夜,550,3,ジュース ポテトチップス フルーツ
R0526,北区,男性,40代,火,2024/06/11,08:24,朝,730,3,パン 牛乳 ヨーグルト
R0527,北区,女性,40代,火,2024/07/09,12:45,昼,500,3,肉まん お茶 ヨーグルト
R0528,中央区,女性,60代以上,土,2024/06/29,14:32,昼,450,1,サンドイッチ
R0529,北区,男性,30代,土,2024/12/28,21:58,夜,500,4,ポテトチップス 缶コーヒー カップ麺 シャンプー
R0530,中央区,女性,30代,火,2024/03/26,18:39,夜,190,1,ヨーグルト
R0531,北区,男性,10代,土,2024/02/10,13:10,昼,830,3,歯ブラシ おにぎり ティッシュ
R0532,東区,男性,20代,火,2024/09/10,13:39,昼,250,2,アイス 缶コーヒー
R0533,中央区,男性,10代,日,2024/02/25,12:36,昼,280,2,ポテトチップス ジュース
R0534,北区,男性,60代以上,火,2024/06/18,20:11,夜,1110,4,歯ブラシ 洗剤 トイレットペーパー 牛乳
R0535,中央区,男性,20代,土,2024/02/10,13:39,昼,670,3,チョコレート ポテトチップス キャンディ
R0536,中央区,女性,40代,金,2024/06/14,21:35,夜,310,1,炭酸飲料
R0537,中央区,女性,60代以上,火,2024/09/17,14:33,昼,1080,3,弁当 サンドイッチ お茶
R0538,東区,女性,40代,日,2024/06/23,13:40,昼,700,3,冷凍食品 ポテトチップス サラダ
R0539,北区,男性,50代,月,2024/12/30,20:03,夜,400,2,肉まん チョコレート
R0540,東区,女性,50代,土,2024/09/14,20:53,夜,1430,6,洗剤 ティッシュ シャンプー 歯ブラシ 牛乳 アイス
R0541,西区,男性,40代,土,2024/09/21,13:06,昼,140,1,おにぎり
R0542,北区,女性,30代,月,2024/12/30,17:03,夜,500,2,炭酸飲料 肉まん
R0543,東区,女性,20代,日,2024/08/18,22:14,夜,650,3,肉まん アイス 炭酸飲料
R0544,東区,男性,30代,土,2024/05/11,13:18,昼,180,1,カップ麺
R0545,西区,男性,30代,木,2024/08/08,08:13,朝,140,1,おにぎり
R0546,西区,男性,10代,月,2024/05/06,14:26,昼,870,4,ポテトチップス 炭酸飲料 冷凍食品 アイス
R0547,北区,女性,60代以上,土,2024/02/24,11:40,昼,800,4,洗剤 卵 シャンプー 歯ブラシ
R0548,西区,女性,10代,土,2024/03/23,21:22,夜,460,2,アイス 炭酸飲料
R0549,北区,男性,30代,日,2024/06/16,12:41,昼,320,2,おにぎり カップ麺
R0550,西区,女性,10代,土,2024/03/30,12:01,昼,420,2,ポテトチップス 炭酸飲料
R0551,北区,男性,40代,火,2024/05/07,08:51,朝,920,3,牛乳 おにぎり サンドイッチ
R0552,西区,男性,10代,水,2024/01/31,13:01,昼,410,2,サラダ お茶
R0553,中央区,男性,10代,金,2024/04/19,12:26,昼,290,2,コーヒー お茶
R0554,北区,女性,30代,水,2024/09/25,07:11,朝,410,2,歯ブラシ シャンプー
R0555,東区,男性,20代,木,2024/11/07,11:39,昼,170,1,コーヒー
R0556,東区,女性,10代,日,2024/06/30,14:05,昼,860,3,弁当 チョコレート おにぎり
R0557,東区,女性,40代,水,2024/09/11,14:42,昼,450,1,サンドイッチ
R0558,中央区,男性,10代,金,2024/06/28,14:23,昼,330,2,おにぎり 肉まん
R0559,東区,男性,50代,土,2024/12/28,20:21,夜,290,1,サラダ
R0560,東区,男性,30代,金,2024/08/16,14:33,昼,180,1,カップ麺
R0561,中央区,男性,40代,木,2024/11/14,13:06,昼,1100,4,トイレットペーパー 弁当 おにぎり お茶
R0562,西区,男性,40代,木,2024/12/12,08:38,朝,670,3,野菜ジュース 冷凍食品 ヨーグルト
R0563,西区,女性,30代,土,2024/10/26,11:17,昼,860,4,チョコレート カップ麺 ジュース 冷凍食品
R0564,中央区,男性,50代,日,2024/10/27,10:03,朝,930,4,フルーツ サラダ ヨーグルト 野菜ジュース
R0565,西区,女性,30代,火,2024/12/31,12:59,昼,530,3,チョコレート ジュース アイス
R0566,西区,女性,40代,日,2024/05/26,11:02,昼,320,2,チョコレート ポテトチップス
R0567,北区,男性,20代,土,2024/08/03,11:30,昼,450,1,サンドイッチ
R0568,中央区,女性,20代,水,2024/01/03,19:20,夜,110,1,ポテトチップス
